date,year,month,day,centroid_lat,centroid_lon,elev_m,tmin_c,tmax_c,etr_mm,eto_mm,prcp_mm,srad_wm2,u2_ms,ea_kpa,nld_ppt_d,prcp_hr_00,prcp_hr_01,prcp_hr_02,prcp_hr_03,prcp_hr_04,prcp_hr_05,prcp_hr_06,prcp_hr_07,prcp_hr_08,prcp_hr_09,prcp_hr_10,prcp_hr_11,prcp_hr_12,prcp_hr_13,prcp_hr_14,prcp_hr_15,prcp_hr_16,prcp_hr_17,prcp_hr_18,prcp_hr_19,prcp_hr_20,prcp_hr_21,prcp_hr_22,prcp_hr_23,etr_mm_uncorr,eto_mm_uncorr
1987-01-01,1987,1,1,46.067,-111.892,1390.32,-13.850006,1.1499939,1.5428847,0.95172167,0.0,64.3,4.2000003,0.2483414763824943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3000001,0.8
1987-01-02,1987,1,2,46.067,-111.892,1390.32,-7.75,4.950012,2.254985,1.3086174,0.0,67.6,4.3,0.3158515949738934,0.1618,0.0,0.1292,0.0,0.0,0.0,0.0,0.0326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,1.1
1987-01-03,1987,1,3,46.067,-111.892,1390.32,-9.949982,4.25,2.136302,1.3086174,0.0,64.8,4.8,0.3020772723201559,0.09280000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0152,0.0,0.0,0.0,0.0776,0.0,1.8000001,1.1
1987-01-04,1987,1,4,46.067,-111.892,1390.32,-4.75,6.850006,1.661568,0.95172167,0.4,61.9,2.3,0.37506210133838735,0.25279999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2128,0.0,0.0,0.0,0.0,1.4,0.8
1987-01-05,1987,1,5,46.067,-111.892,1390.32,-7.649994,4.25,1.5428847,0.95172167,0.0,65.3,2.6000001,0.31860624605753546,0.2488,0.2416,0.0,0.0,0.0,0.0,0.0,0.0,0.0036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0036,0.0,0.0,0.0,0.0,1.3000001,0.8
1987-01-06,1987,1,6,46.067,-111.892,1390.32,-10.149994,1.9500122,0.9494675,0.59482604,0.0,72.1,1.5,0.26212230572745776,0.023700000000000002,0.0,0.0,0.0088,0.0,0.0071,0.0046,0.0032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.5
1987-01-07,1987,1,7,46.067,-111.892,1390.32,-12.449982,0.6499939,1.1868343,0.71379125,0.0,74.4,2.1000001,0.21526064571855513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6
1987-01-08,1987,1,8,46.067,-111.892,1390.32,-15.149994,-0.8500061,1.4242013,0.83275646,0.0,76.3,3.0,0.1876859161818838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.7
1987-01-09,1987,1,9,46.067,-111.892,1390.32,-16.75,-1.1499939,1.4242013,0.83275646,0.0,76.0,3.7,0.1876859161818838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.7
1987-01-10,1987,1,10,46.067,-111.892,1390.32,-15.649994,0.1499939,1.4242013,0.83275646,0.0,74.4,3.3,0.20561024333575711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.7
1987-01-11,1987,1,11,46.067,-111.892,1390.32,-10.350006,4.350006,2.0176184,1.1896521,0.0,75.0,3.2,0.2538540056835057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,1.0
1987-01-12,1987,1,12,46.067,-111.892,1390.32,-9.149994,5.350006,2.254985,1.3086174,0.0,75.9,3.9,0.2979446526944674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,1.1
1987-01-13,1987,1,13,46.067,-111.892,1390.32,-8.449982,3.9500122,2.4923522,1.5465478,0.5,33.9,5.5,0.3034547894447162,0.5556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1000001,1.3000001
1987-01-14,1987,1,14,46.067,-111.892,1390.32,-11.850006,0.25,2.0176184,1.3086174,0.7,66.5,5.1,0.21250346930555022,0.8439000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8173,0.0,0.0,0.02,0.0,0.0066,0.0,0.0,1.7,1.1
